Row Name,Name (ARKit),Name (Mapped),Modifier (Mapped)
_UNDEFINED_Eye_Blink,UNDEFINED,Eye_Blink,1
EyeBlinkLeft,EyeBlinkLeft,Eye_Blink_L,1
EyeBlinkRight,EyeBlinkRight,Eye_Blink_R,1
EyeWideLeft,EyeWideLeft,Eye_Wide_L,1
EyeWideRight,EyeWideRight,Eye_Wide_R,1
EyeSquintLeft,EyeSquintLeft,Eye_Squint_L,1
EyeSquintRight,EyeSquintRight,Eye_Squint_R,1
LeftEyeYaw,LeftEyeYaw,_UNDEFINED_,1
LeftEyePitch,LeftEyePitch,_UNDEFINED_,1
LeftEyeRoll,LeftEyeRoll,_UNDEFINED_,1
RightEyeYaw,RightEyeYaw,_UNDEFINED_,1
RightEyePitch,RightEyePitch,_UNDEFINED_,1
RightEyeRoll,RightEyeRoll,_UNDEFINED_,1
EyeLookDownLeft,EyeLookDownLeft,_UNDEFINED_,1
EyeLookInLeft,EyeLookInLeft,_UNDEFINED_,1
EyeLookOutLeft,EyeLookOutLeft,_UNDEFINED_,1
EyeLookUpLeft,EyeLookUpLeft,_UNDEFINED_,1
EyeLookDownRight,EyeLookDownRight,_UNDEFINED_,1
EyeLookInRight,EyeLookInRight,_UNDEFINED_,1
EyeLookOutRight,EyeLookOutRight,_UNDEFINED_,1
EyeLookUpRight,EyeLookUpRight,_UNDEFINED_,1
BrowInnerUp,BrowInnerUp,_UNDEFINED_,1
BrowDownLeft,BrowDownLeft,Brow_Raise_Inner_L,1
BrowDownRight,BrowDownRight,Brow_Raise_Inner_R,1
BrowOuterUpLeft,BrowOuterUpLeft,Brow_Raise_Outer_L,1
BrowOuterUpRight,BrowOuterUpRight,Brow_Raise_Outer_R,1
_UNDEFINED_Brow_Drop_L,_UNDEFINED_,Brow_Drop_L,1
_UNDEFINED_Brow_Drop_R,_UNDEFINED_,Brow_Drop_R,1
_UNDEFINED_Brow_Raise_L,_UNDEFINED_,Brow_Raise_L,1
_UNDEFINED_Brow_Raise_R,_UNDEFINED_,Brow_Raise_R,1
_UNDEFINED_Nose_Scrunch,_UNDEFINED_,Nose_Scrunch,1
_UNDEFINED_Nose_Flanks_Raise,_UNDEFINED_,Nose_Flanks_Raise,1
NoseSneerLeft,NoseSneerLeft,Nose_Flank_Raise_L,1
NoseSneerRight,NoseSneerRight,Nose_Flank_Raise_R,1
_UNDEFINED_Nose_Nostrils_Flare,_UNDEFINED_,Nose_Nostrils_Flare,1
CheekSquintLeft,CheekSquintLeft,Cheek_Raise_L,1
CheekSquintRight,CheekSquintRight,Cheek_Raise_R,1
CheekPuff,CheekPuff,Cheek_Suck,1
_UNDEFINED_Cheek_Suck,_UNDEFINED_,Cheek_Blow_L,1
_UNDEFINED_Cheek_Blow_R,_UNDEFINED_,Cheek_Blow_R,1
_UNDEFINED_Mouth_Smile,_UNDEFINED_,Mouth_Smile,1
MouthSmileLeft,MouthSmileLeft,Mouth_Smile_L,1
MouthSmileRight,MouthSmileRight,Mouth_Smile_R,1
_UNDEFINED_Mouth_Frown,_UNDEFINED_,Mouth_Frown,1
MouthFrownLeft,MouthFrownLeft,Mouth_Frown_L,1
MouthFrownRight,MouthFrownRight,Mouth_Frown_R,1
MouthFunnel,MouthFunnel,Mouth_Blow,1
MouthPucker,MouthPucker,Mouth_Pucker,1
_UNDEFINED_Mouth_Pucker_Open,_UNDEFINED_,Mouth_Pucker_Open,1
_UNDEFINED_Mouth_Widen,_UNDEFINED_,Mouth_Widen,1
_UNDEFINED_Mouth_Widen_Sides,_UNDEFINED_,Mouth_Widen_Sides,1
MouthDimpleLeft,MouthDimpleLeft,Mouth_Dimple_L,1
MouthDimpleRight,MouthDimpleRight,Mouth_Dimple_R,1
_UNDEFINED_Mouth_Plosive,_UNDEFINED_,Mouth_Plosive,1
_UNDEFINED_Mouth_Lips_Tight,_UNDEFINED_,Mouth_Lips_Tight,1
_UNDEFINED_Mouth_Lips_Tuck,_UNDEFINED_,Mouth_Lips_Tuck,1
_UNDEFINED_Mouth_Lips_Open,_UNDEFINED_,Mouth_Lips_Open,1
_UNDEFINED_Mouth_Lips_Part,_UNDEFINED_,Mouth_Lips_Part,1
_UNDEFINED_Mouth_Bottom_Lip_Down,_UNDEFINED_,Mouth_Bottom_Lip_Down,1
_UNDEFINED_Mouth_Top_Lip_Up,_UNDEFINED_,Mouth_Top_Lip_Up,1
_UNDEFINED_Mouth_Top_Lip_Under,_UNDEFINED_,Mouth_Top_Lip_Under,1
_UNDEFINED_Mouth_Bottom_Lip_Under,_UNDEFINED_,Mouth_Bottom_Lip_Under,1
MouthLowerDownLeft,MouthLowerDownLeft,Mouth_Snarl_Upper_L,1
MouthLowerDownRight,MouthLowerDownRight,Mouth_Snarl_Upper_R,1
MouthUpperUpLeft,MouthUpperUpLeft,Mouth_Snarl_Lower_L,1
MouthUpperUpRight,MouthUpperUpRight,Mouth_Snarl_Lower_R,1
_UNDEFINED_Mouth_Bottom_Lip_Bite,_UNDEFINED_,Mouth_Bottom_Lip_Bite,1
_UNDEFINED_Mouth_Dow,_UNDEFINED_,Mouth_Down,1
